MPIO_CNMBR_ORIG,MPIO_CNMBR,name_norm,lat,lon
GUACA,GUACA,GUACA,6.943434099887992,-72.82369873316824
GUADALUPE,GUADALUPE,GUADALUPE,6.2332782476356225,-73.40977445251137
GUAPOTÁ,GUAPOTÁ,GUAPOTA,6.319299865051612,-73.33115275162557
GUAVATÁ,GUAVATÁ,GUAVATA,5.944894844313846,-73.72173670728917
GÜEPSA,GÜEPSA,GUEPSA,6.0333738735537334,-73.57899508757738
HATO,HATO,HATO,6.559878298829741,-73.36178840526955
JESÚS MARÍA,JESÚS MARÍA,JESUS MARIA,5.8542882339268445,-73.82342217459387
GIRÓN,GIRÓN,GIRON,7.036680245298026,-73.24872523569533
FLORIDABLANCA,FLORIDABLANCA,FLORIDABLANCA,7.079704597717851,-73.0679925029952
BOLÍVAR,BOLÍVAR,BOLIVAR,6.093691313437234,-74.11340191657749
EL PEÑÓN,EL PEÑÓN,EL PENON,6.096726217483942,-73.9271822883388
PIEDECUESTA,PIEDECUESTA,PIEDECUESTA,6.962456082109276,-73.00517172522251
BUCARAMANGA,BUCARAMANGA,BUCARAMANGA,7.155833543735338,-73.11156997119552
